,Unnamed: 0,valor,bairro,zona,categoria,area,qtde_quartos,qtde_vagas,qtde_banheiros
3,4,450000.0,Adrianópolis,Centro-Sul,Apartamentos,120.0,3.0,2.0,2.0
12,13,160000.0,Lago Azul,Norte,Apartamentos,60.0,3.0,1.0,2.0
21,22,200129.0,Tarumã,Oeste,Apartamentos,70.0,2.0,1.0,1.0
30,34,580000.0,Colônia Terra Nova,Norte,Casas,175.0,3.0,4.0,4.0
39,43,1450000.0,Ponta Negra,Oeste,Casas,246.0,4.0,5.0,5.0
48,52,2600000.0,Dom Pedro I,Centro-Oeste,Casas,415.0,3.0,4.0,5.0
57,63,700000.0,Ponta Negra,Oeste,Casas,140.0,3.0,4.0,5.0
66,72,350000.0,Da Paz,Centro-Oeste,Apartamentos,80.0,3.0,1.0,2.0
75,81,400000.0,Parque 10 de Novembro,Centro-Sul,Casas,350.0,3.0,3.0,3.0
84,90,1500000.0,Ponta Negra,Oeste,Casas,245.0,3.0,2.0,4.0
93,100,180000.0,Tarumã-Açu,Oeste,Apartamentos,46.0,3.0,1.0,1.0
102,110,190002.0,Zumbi dos Palmares,Leste,Apartamentos,44.0,2.0,1.0,1.0
111,124,850000.0,Parque 10 de Novembro,Centro-Sul,Apartamentos,119.0,3.0,2.0,5.0
120,136,1100001.0,Dom Pedro I,Centro-Oeste,Apartamentos,171.0,4.0,2.0,3.0
129,150,1300000.0,Ponta Negra,Oeste,Apartamentos,169.0,3.0,3.0,4.0
138,161,1600000.0,Ponta Negra,Oeste,Casas,600.0,4.0,4.0,4.0
147,171,798000.0,Colônia Terra Nova,Norte,Casas,250.0,3.0,4.0,4.0
157,183,380000.0,Flores,Centro-Sul,Apartamentos,120.0,3.0,2.0,2.0
166,196,270000.0,Tarumã,Oeste,Casas,45.0,2.0,2.0,1.0
175,207,110000.0,São Raimundo,Oeste,Apartamentos,48.0,2.0,5.0,1.0
184,218,290000.0,Colônia Santo Antônio,Norte,Casas,81.0,2.0,2.0,3.0
193,230,1200000.0,Aleixo,Centro-Sul,Apartamentos,155.0,3.0,3.0,5.0
202,243,320000.0,Flores,Centro-Sul,Casas,90.0,3.0,2.0,1.0
211,253,370000.0,Parque 10 de Novembro,Centro-Sul,Casas,100.0,3.0,2.0,1.0
220,263,40000.0,Santa Etelvina,Norte,Apartamentos,42.0,2.0,1.0,1.0
229,275,3300000.0,Ponta Negra,Oeste,Casas,400.0,4.0,4.0,1.0
238,288,2300000.0,Adrianópolis,Centro-Sul,Apartamentos,260.0,4.0,3.0,5.0
247,298,250000.0,Da Paz,Centro-Oeste,Casas,300.0,2.0,5.0,2.0
256,310,85000.0,Nova Cidade,Norte,Casas,45.0,2.0,2.0,1.0
265,319,330000.0,Ponta Negra,Oeste,Apartamentos,56.0,2.0,1.0,1.0
274,328,167000.0,Tarumã,Oeste,Apartamentos,41.0,2.0,1.0,1.0
283,340,140000.0,Nova Cidade,Norte,Casas,50.0,2.0,1.0,1.0
292,351,269000.0,São José Operário,Leste,Apartamentos,71.0,3.0,1.0,2.0
301,362,200000.0,Coroado,Leste,Casas,120.0,3.0,3.0,3.0
310,377,745000.0,Aleixo,Centro-Sul,Casas,198.0,4.0,5.0,5.0
319,389,2000000.0,Ponta Negra,Oeste,Casas,402.0,4.0,5.0,5.0
328,399,244000.0,Lírio do Vale,Oeste,Casas,81.0,3.0,2.0,1.0
337,411,231990.0,Ponta Negra,Oeste,Apartamentos,47.0,2.0,1.0,1.0
346,423,890000.0,Dom Pedro I,Centro-Oeste,Apartamentos,133.0,3.0,2.0,3.0
355,433,580000.0,Planalto,Centro-Oeste,Casas,164.0,2.0,3.0,2.0
364,446,400000.0,Novo Aleixo,Norte,Casas,100.0,3.0,2.0,2.0
373,455,45000.0,Nova Cidade,Norte,Casas,100.0,2.0,2.0,2.0
382,470,454000.0,Flores,Centro-Sul,Apartamentos,79.0,3.0,2.0,2.0
391,480,380248.0,Cidade Nova,Norte,Casas,80.0,3.0,2.0,2.0
400,494,220130.0,Novo Aleixo,Norte,Casas,70.0,2.0,2.0,2.0
409,508,380000.0,Tarumã-Açu,Oeste,Casas,87.0,3.0,2.0,1.0
418,520,450000.0,Parque 10 de Novembro,Centro-Sul,Apartamentos,105.0,3.0,3.0,2.0
427,533,160000.0,Cidade Nova,Norte,Apartamentos,42.0,2.0,1.0,1.0
436,548,320050.0,Planalto,Centro-Oeste,Casas,450.0,3.0,3.0,1.0
445,559,250000.0,Flores,Centro-Sul,Casas,54.0,2.0,2.0,2.0
454,572,850000.0,Aleixo,Centro-Sul,Apartamentos,96.0,3.0,2.0,3.0
463,587,1890000.0,Ponta Negra,Oeste,Casas,346.0,3.0,4.0,5.0
472,596,300133.0,Planalto,Centro-Oeste,Casas,90.0,3.0,2.0,2.0
481,609,600000.0,Cidade Nova,Norte,Casas,180.0,3.0,2.0,3.0
491,622,232890.0,Ponta Negra,Oeste,Apartamentos,46.0,2.0,1.0,1.0
500,631,120000.0,Tarumã-Açu,Oeste,Apartamentos,52.0,3.0,1.0,1.0
509,643,2350000.0,Flores,Centro-Sul,Casas,750.0,4.0,5.0,5.0
518,653,260000.0,Cidade Nova,Norte,Casas,80.0,3.0,3.0,2.0
527,664,350000.0,Flores,Centro-Sul,Apartamentos,84.0,3.0,2.0,2.0
536,682,950000.0,Ponta Negra,Oeste,Apartamentos,133.0,3.0,2.0,5.0
546,697,1150000.0,Ponta Negra,Oeste,Apartamentos,113.0,3.0,2.0,3.0
555,709,162000.0,Gilberto Mestrinho,Leste,Apartamentos,43.0,2.0,1.0,2.0
564,720,150000.0,Coroado,Leste,Casas,204.0,2.0,3.0,2.0
573,732,450000.0,Parque 10 de Novembro,Centro-Sul,Apartamentos,90.0,3.0,2.0,3.0
582,741,200000.0,Cidade Nova,Norte,Casas,70.0,3.0,3.0,2.0
591,756,1900000.0,Ponta Negra,Oeste,Casas,240.0,4.0,4.0,5.0
600,766,1200000.0,Ponta Negra,Oeste,Casas,220.0,3.0,4.0,5.0
609,777,5000000.0,Ponta Negra,Oeste,Casas,800.0,4.0,4.0,5.0
618,787,145000.0,Tarumã,Oeste,Apartamentos,41.0,2.0,1.0,1.0
627,801,2300000.0,Ponta Negra,Oeste,Casas,364.0,4.0,5.0,5.0
636,810,86137.0,Flores,Centro-Sul,Apartamentos,42.0,2.0,1.0,1.0
645,820,310000.0,Tarumã-Açu,Oeste,Casas,60.0,3.0,1.0,2.0
654,830,1330000.0,Adrianópolis,Centro-Sul,Apartamentos,178.0,4.0,4.0,4.0
663,843,3900000.0,Chapada,Centro-Sul,Casas,400.0,5.0,4.0,5.0
672,857,2500000.0,Adrianópolis,Centro-Sul,Apartamentos,215.0,3.0,5.0,4.0
681,867,1500000.0,Ponta Negra,Oeste,Casas,360.0,3.0,4.0,3.0
690,881,580000.0,Dom Pedro I,Centro-Oeste,Casas,200.0,3.0,2.0,4.0
699,893,950000.0,Flores,Centro-Sul,Casas,200.0,4.0,2.0,5.0
708,906,1480000.0,Adrianópolis,Centro-Sul,Apartamentos,140.0,3.0,2.0,4.0
717,916,275000.0,Novo Aleixo,Norte,Apartamentos,94.0,2.0,2.0,1.0
726,926,100000.0,Nova Cidade,Norte,Casas,120.0,2.0,1.0,2.0
735,935,600132.0,Aleixo,Centro-Sul,Casas,150.0,3.0,2.0,4.0
744,944,230000.0,Chapada,Centro-Sul,Apartamentos,60.0,2.0,1.0,1.0
753,961,350000.0,Cidade Nova,Norte,Casas,300.0,3.0,2.0,2.0
762,973,300000.0,Cidade Nova,Norte,Casas,250.0,3.0,2.0,2.0
771,986,4200000.0,Chapada,Centro-Sul,Casas,380.0,5.0,4.0,5.0
780,998,680000.0,Dom Pedro I,Centro-Oeste,Apartamentos,99.0,3.0,2.0,3.0
789,1009,1900003.0,Ponta Negra,Oeste,Apartamentos,185.0,4.0,3.0,5.0
798,1018,1600001.0,Ponta Negra,Oeste,Casas,250.0,4.0,4.0,5.0
807,1028,170000.0,Adrianópolis,Centro-Sul,Apartamentos,58.0,2.0,1.0,1.0
816,1037,610000.0,Tarumã,Oeste,Casas,100.0,2.0,5.0,3.0
825,1048,450000.0,Alvorada,Centro-Oeste,Casas,200.0,3.0,2.0,3.0
835,1064,300000.0,Planalto,Centro-Oeste,Casas,75.0,3.0,2.0,1.0
844,1075,451000.0,Tarumã-Açu,Oeste,Casas,72.0,3.0,2.0,2.0
853,1089,590000.0,Ponta Negra,Oeste,Casas,124.0,3.0,2.0,4.0
862,1098,4500000.0,Adrianópolis,Centro-Sul,Apartamentos,414.0,3.0,5.0,4.0
871,1109,350000.0,Chapada,Centro-Sul,Apartamentos,78.0,2.0,1.0,2.0
880,1119,426000.0,Flores,Centro-Sul,Casas,213.0,4.0,4.0,4.0
889,1133,450000.0,Nossa Senhora das Graças,Centro-Sul,Apartamentos,62.0,1.0,5.0,2.0
898,1146,350000.0,Colônia Oliveira Machado,Sul,Casas,260.0,2.0,3.0,1.0
907,1160,200000.0,Novo Aleixo,Norte,Casas,236.0,2.0,2.0,1.0
916,1173,270130.0,Flores,Centro-Sul,Casas,70.0,2.0,2.0,2.0
925,1182,250000.0,Flores,Centro-Sul,Casas,90.0,3.0,2.0,1.0
935,1197,175000.0,Planalto,Centro-Oeste,Apartamentos,38.0,2.0,1.0,1.0
944,1209,375000.0,Flores,Centro-Sul,Casas,162.0,2.0,2.0,3.0
953,1220,180000.0,Chapada,Centro-Sul,Apartamentos,60.0,2.0,1.0,1.0
962,1229,300000.0,Lírio do Vale,Oeste,Casas,375.0,3.0,2.0,2.0
971,1238,2700000.0,Parque 10 de Novembro,Centro-Sul,Casas,590.0,5.0,4.0,5.0
980,1252,780000.0,Parque 10 de Novembro,Centro-Sul,Casas,156.0,3.0,4.0,1.0
989,1263,7500000.0,Ponta Negra,Oeste,Casas,1129.0,5.0,0.0,5.0
998,1272,320000.0,Coroado,Leste,Casas,500.0,5.0,3.0,4.0
1007,1284,2939925.0,Adrianópolis,Centro-Sul,Apartamentos,220.0,4.0,4.0,5.0
1016,1294,280000.0,Novo Aleixo,Norte,Casas,230.0,5.0,2.0,5.0
1025,1306,730000.0,Cachoeirinha,Sul,Casas,306.0,4.0,5.0,3.0
1034,1319,574500.0,Ponta Negra,Oeste,Apartamentos,85.0,3.0,2.0,2.0
1043,1331,180000.0,Flores,Centro-Sul,Casas,76.0,3.0,3.0,2.0
1052,1345,70000.0,Nova Cidade,Norte,Casas,70.0,2.0,3.0,1.0
1061,1355,900000.0,Parque 10 de Novembro,Centro-Sul,Apartamentos,155.0,3.0,3.0,3.0
1070,1365,250000.0,Novo Aleixo,Norte,Casas,54.0,2.0,2.0,2.0
1079,1375,650000.0,Dom Pedro I,Centro-Oeste,Apartamentos,100.0,3.0,2.0,2.0
1088,1386,95000.0,Nova Cidade,Norte,Casas,128.0,2.0,2.0,2.0
1097,1397,270099.0,Flores,Centro-Sul,Casas,75.0,2.0,2.0,2.0
1106,1406,680000.0,Adrianópolis,Centro-Sul,Apartamentos,96.0,3.0,2.0,3.0
1115,1415,270000.0,Flores,Centro-Sul,Casas,65.0,2.0,2.0,2.0
1124,1426,480000.0,Ponta Negra,Oeste,Apartamentos,81.0,3.0,1.0,2.0
1133,1437,50000.0,Colônia Terra Nova,Norte,Casas,50.0,2.0,2.0,1.0
1142,1450,900000.0,Flores,Centro-Sul,Casas,213.0,3.0,3.0,3.0
1151,1463,282580.0,Ponta Negra,Oeste,Apartamentos,53.0,2.0,1.0,2.0
1160,1475,509000.0,Flores,Centro-Sul,Apartamentos,84.0,3.0,2.0,1.0
1169,1485,880000.0,Adrianópolis,Centro-Sul,Apartamentos,131.0,3.0,2.0,4.0
1178,1495,1400000.0,Ponta Negra,Oeste,Apartamentos,169.0,4.0,3.0,4.0
1187,1512,1800001.0,Chapada,Centro-Sul,Casas,220.0,3.0,3.0,4.0
1196,1522,1300000.0,Ponta Negra,Oeste,Apartamentos,134.0,3.0,2.0,4.0
1205,1535,520000.0,Tarumã-Açu,Oeste,Casas,120.0,3.0,3.0,3.0
1214,1545,970030.0,Ponta Negra,Oeste,Apartamentos,141.0,3.0,2.0,3.0
1223,1555,190000.0,Centro,Sul,Apartamentos,55.0,1.0,1.0,1.0
1232,1568,1250000.0,Colônia Terra Nova,Norte,Casas,286.0,3.0,2.0,3.0
1241,1580,250000.0,Santa Etelvina,Norte,Casas,60.0,2.0,5.0,2.0
1250,1593,244200.0,Lírio do Vale,Oeste,Casas,88.0,3.0,2.0,2.0
1259,1604,850000.0,Ponta Negra,Oeste,Casas,155.0,3.0,2.0,4.0
1268,1613,3000000.0,Ponta Negra,Oeste,Casas,800.0,4.0,4.0,5.0
1277,1629,1500000.0,Colônia Santo Antônio,Norte,Casas,1000.0,5.0,5.0,5.0
1286,1638,220000.0,Novo Aleixo,Norte,Casas,120.0,2.0,1.0,3.0
1295,1649,600000.0,Ponta Negra,Oeste,Apartamentos,88.0,3.0,2.0,3.0
1304,1660,400000.0,Parque 10 de Novembro,Centro-Sul,Apartamentos,117.0,4.0,1.0,3.0
1313,1670,750000.0,Parque 10 de Novembro,Centro-Sul,Apartamentos,127.0,3.0,2.0,4.0
1322,1679,850000.0,Tarumã,Oeste,Casas,764.0,5.0,5.0,2.0
1331,1693,4900000.0,Chapada,Centro-Sul,Apartamentos,500.0,3.0,4.0,4.0
1340,1709,270000.0,Cidade Nova,Norte,Casas,2478.0,3.0,1.0,1.0
1349,1722,160400.0,Flores,Centro-Sul,Apartamentos,42.0,2.0,1.0,1.0
1358,1733,160122.0,Flores,Centro-Sul,Casas,70.0,2.0,2.0,2.0
1367,1744,320000.0,Santo Antônio,Oeste,Apartamentos,65.0,2.0,1.0,2.0
1376,1753,750000.0,Ponta Negra,Oeste,Casas,250.0,3.0,4.0,4.0
1385,1763,950000.0,Parque 10 de Novembro,Centro-Sul,Apartamentos,129.0,3.0,2.0,4.0
1394,1777,250000.0,Flores,Centro-Sul,Casas,90.0,3.0,2.0,1.0
1403,1788,1100000.0,Nossa Senhora das Graças,Centro-Sul,Apartamentos,200.0,4.0,3.0,4.0
1412,1801,380000.0,Flores,Centro-Sul,Apartamentos,75.0,3.0,2.0,2.0
1421,1822,424000.0,Dom Pedro I,Centro-Oeste,Apartamentos,64.0,2.0,1.0,2.0
1430,1831,950000.0,Ponta Negra,Oeste,Apartamentos,134.0,3.0,2.0,4.0
1439,1840,700000.0,Colônia Terra Nova,Norte,Casas,170.0,3.0,4.0,3.0
1448,1853,125000.0,Cidade Nova,Norte,Casas,58.0,4.0,2.0,2.0
1457,1862,600000.0,Nossa Senhora das Graças,Centro-Sul,Casas,400.0,5.0,5.0,5.0
1466,1875,5500000.0,Ponta Negra,Oeste,Casas,680.0,5.0,5.0,5.0
1475,1887,880000.0,Dom Pedro I,Centro-Oeste,Casas,300.0,5.0,2.0,5.0
1484,1899,400000.0,Japiim,Sul,Casas,300.0,3.0,3.0,4.0
1494,1912,495000.0,Flores,Centro-Sul,Casas,200.0,3.0,5.0,4.0
1503,1923,319000.0,Dom Pedro I,Centro-Oeste,Apartamentos,56.0,3.0,2.0,2.0
1512,1936,55000.0,Monte das Oliveiras,Norte,Apartamentos,44.0,2.0,1.0,1.0
1521,1949,3500000.0,Ponta Negra,Oeste,Casas,409.0,4.0,2.0,4.0
1530,1960,2200000.0,Ponta Negra,Oeste,Casas,450.0,3.0,5.0,4.0
1539,1972,490000.0,Santo Agostinho,Oeste,Casas,185.0,3.0,3.0,2.0
1548,1982,190000.0,Flores,Centro-Sul,Apartamentos,58.0,2.0,1.0,1.0
1557,1992,750000.0,Ponta Negra,Oeste,Apartamentos,132.0,4.0,2.0,5.0
1566,2003,371001.0,Flores,Centro-Sul,Apartamentos,60.0,2.0,2.0,2.0
1575,2016,490000.0,Tarumã,Oeste,Casas,150.0,3.0,5.0,1.0
1584,2028,390000.0,Flores,Centro-Sul,Casas,70.0,2.0,1.0,2.0
1593,2038,4500020.0,Adrianópolis,Centro-Sul,Casas,500.0,5.0,4.0,5.0
1602,2050,180268.0,Novo Aleixo,Norte,Casas,80.0,2.0,2.0,2.0
1611,2061,140000.0,Tarumã,Oeste,Casas,172.0,3.0,1.0,1.0
1620,2073,450000.0,Planalto,Centro-Oeste,Casas,366.0,4.0,4.0,5.0
1629,2084,180358.0,Novo Aleixo,Norte,Casas,80.0,2.0,2.0,2.0
1638,2095,320000.0,Ponta Negra,Oeste,Apartamentos,68.0,2.0,1.0,2.0
1647,2105,290010.0,Aleixo,Centro-Sul,Apartamentos,94.0,3.0,2.0,2.0
1656,2116,690000.0,Parque 10 de Novembro,Centro-Sul,Apartamentos,131.0,3.0,2.0,5.0
1665,2127,900000.0,Tarumã,Oeste,Casas,170.0,3.0,4.0,4.0
1674,2139,244001.0,Lírio do Vale,Oeste,Casas,81.0,3.0,2.0,1.0
1683,2150,4000000.0,Ponta Negra,Oeste,Casas,1000.0,5.0,5.0,5.0
1692,2161,600000.0,Cidade Nova,Norte,Casas,500.0,5.0,3.0,5.0
1701,2171,270000.0,Parque 10 de Novembro,Centro-Sul,Casas,58.0,2.0,2.0,2.0
1710,2183,410000.0,Petrópolis,Sul,Casas,170.0,3.0,3.0,3.0
1720,2193,630000.0,Aleixo,Centro-Sul,Apartamentos,92.0,3.0,2.0,3.0
1729,2203,590000.0,Flores,Centro-Sul,Casas,142.0,3.0,2.0,1.0
1738,2216,3200000.0,Chapada,Centro-Sul,Casas,370.0,1.0,4.0,5.0
1747,2228,1200001.0,Chapada,Centro-Sul,Casas,280.0,4.0,4.0,5.0
1756,2243,1300000.0,Ponta Negra,Oeste,Casas,275.0,5.0,5.0,5.0
